name	DEN_1	DEN_2	BC	IDC	LBCC	ESS
Q0045	1.0000	0.4000	0.0000	3.0000	0.0000	0
YGL187C	0.4000	0.1170	6513.3763	6.0000	105.3066	0
Q0085	1.0000	0.5000	0.0000	4.0000	0.0000	0
YPL078C	0.5000	0.4000	8765.0000	13.0000	246485.8240	0
Q0250	0.6667	0.2500	214.4288	0.0010	0.0000	0
YER154W	0.3333	0.0202	11054.5706	0.0010	0.0000	0
Q0275	0.6667	0.2000	174.0350	3.0000	5.0122	0
YAL001C	0.5000	0.1377	1030.9770	10.0000	185.2324	1
YDR362C	0.6667	0.3333	270.7143	4.0000	142.5985	1
YER148W	0.2667	0.0208	25291.3446	32.0000	41.3226	1
YGR246C	0.4000	0.1254	3288.4086	8.0000	166.3022	1
YAL002W	0.4182	0.0203	5125.4236	0.0010	0.0000	0
YOR089C	0.2549	0.0187	26324.0653	0.0010	0.0000	0
YAL003W	0.5000	0.3333	1583.2196	18.0000	56995.9045	1
YBR118W	0.6667	0.4000	40.6009	10.0000	692.9221	0
YKL081W	0.5000	0.0345	5884.2564	6.0000	0.9043	0
YPR080W	0.6667	0.4000	40.6009	10.0000	692.9221	0
YAL004W	1.0000	0.1810	0.0000	0.0010	0.0000	0
YML109W	0.1810	0.0402	25067.7050	0.0010	0.0000	0
YAL005C	0.3056	0.0247	15065.5027	0.0010	0.0000	0
YAL040C	0.2164	0.0561	9444.9082	7.0000	6.9442	0
YER151C	0.3214	0.0561	3328.5820	1.0000	0.0106	0
YJL061W	0.2889	0.0137	9145.9697	11.0000	0.1246	1
YLR310C	0.2051	0.0551	30828.0797	0.0010	0.0000	1
YNL064C	0.2424	0.0335	7849.3726	1.0000	0.0024	0
YNL189W	0.0172	0.0107	561234.6158	5.0000	0.0161	1
YPL240C	0.2909	0.0544	7832.5475	0.0010	0.0000	0
YAL009W	0.4667	0.0604	1489.7185	1.0000	0.0092	0
YDL116W	0.0833	0.0127	78534.8843	9.0000	0.1228	0
YGL100W	0.6667	0.1544	544.7507	0.0010	0.0000	0
YHR004C	0.3333	0.0238	13528.4020	1.0000	0.0014	0
YKL057C	0.2500	0.0496	8253.8072	3.0000	0.3376	0
YML103C	0.5000	0.1462	331.2728	8.0000	38.7927	0
YAL011W	0.3041	0.0165	33309.0839	0.0010	0.0000	0
YDL181W	0.2857	0.0605	578.7418	0.0010	0.0000	0
YHR158C	0.1569	0.0219	21582.5590	2.0000	0.0063	0
YIR018W	0.4000	0.1738	7968.7021	0.0010	0.0000	0
YOR127W	0.2857	0.0249	13386.4275	0.0010	0.0000	0
YOR269W	0.2751	0.0287	17362.9246	0.0010	0.0000	0
YAL013W	0.0614	0.0149	95151.8435	12.0000	0.5007	0
YBL008W	0.3810	0.0402	3075.3980	3.0000	0.0828	0
YBL027W	0.4000	0.0816	2330.5461	6.0000	8.9095	0
YBR103W	0.1976	0.0228	36061.1255	9.0000	1.3935	0
YBR171W	0.3619	0.0239	15511.5763	4.0000	0.1167	0
YCR033W	0.4667	0.0429	1423.0526	2.0000	0.0180	0
YDL002C	0.3929	0.0309	6314.7428	4.0000	0.1439	0
YDL074C	0.2190	0.0153	32492.8090	0.0010	0.0000	0
YDL080C	0.5000	0.0650	17.0733	0.0010	0.0000	0
YDR146C	0.2500	0.0367	3476.7484	0.0010	0.0000	0
YDR181C	1.0000	0.0614	0.0000	0.0010	0.0000	0
YDR334W	0.3736	0.0223	1696.7816	0.0010	0.0000	0
YDR363W-A	0.2424	0.0310	8875.0135	0.0010	0.0000	0
YDR392W	0.5095	0.0305	15248.1272	117.0000	10735.2264	0
YDR485C	0.3590	0.0246	6679.8306	0.0010	0.0000	0
YER016W	0.1343	0.0112	127737.9778	46.0000	26.7166	1
YER111C	0.3557	0.0151	15091.3126	4.0000	0.0180	0
YER139C	0.8333	0.0307	3.7498	0.0010	0.0000	0
YFR010W	0.3333	0.0338	1528.7817	0.0010	0.0000	0
YGL127C	0.0345	0.0115	319694.8080	16.0000	0.7870	0
YGL133W	1.0000	0.0695	0.0000	0.0010	0.0000	0
YGL149W	0.5000	0.0315	1202.7725	0.0010	0.0000	0
YGL161C	0.2821	0.0304	12000.0094	0.0010	0.0000	0
YGL167C	0.3889	0.0395	1183.5037	0.0010	0.0000	0
YGL194C	0.4762	0.0455	108.8955	6.0000	0.0481	0
YGL244W	0.3250	0.0186	13923.1799	3.0000	0.0147	0
YGR105W	0.4167	0.0208	6692.1195	0.0010	0.0000	0
YGR181W	0.4000	0.0566	1291.5304	0.0010	0.0000	0
YGR182C	0.3333	0.0087	8104.5928	0.0010	0.0000	0
YGR200C	0.5357	0.0401	308.7153	0.0010	0.0000	0
YGR270W	0.6786	0.0322	201.8967	0.0010	0.0000	0
YHR041C	0.1000	0.0396	48193.6852	10.0000	11.8044	0
YHR060W	0.2000	0.0071	51669.4469	2.0000	0.0002	0
YHR178W	0.1265	0.0263	56943.7910	0.0010	0.0000	0
YHR200W	0.2949	0.0230	15999.0230	8.0000	0.6768	0
YJL115W	0.4222	0.0350	1012.8690	0.0010	0.0000	0
YJR073C	0.3485	0.0188	3056.9722	0.0010	0.0000	0
YJR140C	0.3929	0.0263	2094.2591	0.0010	0.0000	0
YKL118W	0.3778	0.0343	1744.9789	0.0010	0.0000	0
YKR029C	0.6000	0.0548	776.0032	4.0000	0.2694	0
YLR055C	0.5848	0.0279	14476.0788	93.0000	4115.4222	0
YLR085C	0.1355	0.0152	92038.4925	2.0000	0.0053	0
YLR087C	0.2667	0.0208	5882.9889	0.0010	0.0000	0
YLR111W	0.6000	0.0363	608.2092	0.0010	0.0000	0
YLR268W	0.1540	0.0186	57878.6369	15.0000	3.5721	0
YLR384C	0.4762	0.0353	3646.1581	0.0010	0.0000	0
YLR418C	0.0376	0.0139	213949.6073	15.0000	1.0087	0
YML041C	0.2680	0.0087	41399.2607	0.0010	0.0000	0
YML047C	0.5000	0.0650	17.0733	0.0010	0.0000	0
YMR060C	0.2121	0.0327	10863.8697	2.0000	0.0211	0
YMR312W	0.4505	0.0291	8460.1331	1.0000	0.0027	0
YNL140C	0.4444	0.0323	4652.8919	0.0010	0.0000	0
YNL215W	0.4286	0.0125	7113.0954	0.0010	0.0000	0
YNL298W	0.1149	0.0125	134491.2099	0.0010	0.0000	0
YOL012C	0.3719	0.0142	32891.6672	0.0010	0.0000	0
YOR123C	0.2476	0.0240	17349.2626	3.0000	0.0388	0
YOR213C	0.4000	0.0170	5429.9738	0.0010	0.0000	0
YOR304W	0.6667	0.0423	122.5991	0.0010	0.0000	0
YPL055C	0.3077	0.0196	5457.5751	0.0010	0.0000	0
YPL086C	0.3929	0.0432	591.0242	0.0010	0.0000	0
YPL101W	0.4286	0.0434	456.8833	0.0010	0.0000	0
YPL102C	0.4000	0.0361	5069.2223	0.0010	0.0000	0
YPL144W	0.5000	0.0475	265.1912	0.0010	0.0000	0
YPL174C	0.1796	0.0136	75269.0157	35.0000	19.9812	0
YPR023C	0.7619	0.0461	44.0191	2.0000	0.0012	0
YAL014C	0.5000	0.0833	699.8336	0.0010	0.0000	0
YAL030W	0.3929	0.0902	1115.1668	10.0000	29.0567	0
YMR197C	0.4000	0.0085	8739.3794	13.0000	0.0407	1
YOR036W	0.1833	0.0194	13812.5877	8.0000	0.1822	1
YAL016W	0.5000	0.0979	273.0693	5.0000	1.5667	0
YCR066W	0.2857	0.0253	10473.2479	1.0000	0.0012	0
YDL134C	0.3810	0.0180	5723.1846	6.0000	0.0492	0
YNL127W	0.4000	0.0284	1778.3364	2.0000	0.0037	0
YOR014W	0.2121	0.0142	27157.5068	4.0000	0.0148	0
YAL020C	0.6667	0.0877	60.1390	0.0010	0.0000	0
YML085C	0.3676	0.0465	11400.5964	21.0000	181.8219	1
YAL021C	0.2667	0.0709	7325.0330	16.0000	201.7175	0
YDL160C	0.2000	0.0144	36810.0683	20.0000	2.5594	0
YGL178W	0.2667	0.0382	6051.5529	0.0010	0.0000	0
YGR092W	0.1985	0.0416	11857.1898	13.0000	15.5250	0
YGR116W	0.4167	0.0538	10129.5568	1.0000	0.0354	1
YJL127C	1.0000	0.2667	0.0000	0.0010	0.0000	0
YJR060W	0.1985	0.0277	16512.8125	29.0000	46.9194	0
YLR150W	0.2857	0.0360	11102.5139	0.0010	0.0000	0
YML032C	0.2793	0.0188	30368.5587	11.0000	1.4250	0
YNR052C	0.3333	0.0163	10124.9117	16.0000	0.9734	1
YAL023C	0.5238	0.0333	6281.3719	1.0000	0.0041	0
YDL095W	0.8000	0.2179	108.7272	1.0000	0.1963	0
YJR143C	0.7000	0.0846	1860.3942	0.0010	0.0000	0
YOR321W	0.7000	0.0590	709.9933	0.0010	0.0000	0
YAL024C	0.1947	0.0222	29880.3531	0.0010	0.0000	0
YAR019C	0.2857	0.0235	8071.8018	0.0010	0.0000	1
YBR140C	0.6667	0.1500	36.1170	0.0010	0.0000	1
YGR152C	0.4222	0.0641	2987.0463	0.0010	0.0000	0
YHR152W	0.1143	0.0172	45353.3573	0.0010	0.0000	0
